Month,Revenue,Expenses,Category,Amount
Jan,150000,110000,Payroll,60000
Jan,150000,110000,Marketing,25000
Jan,150000,110000,Rent,15000
Jan,150000,110000,Technology,10000
Feb,165000,115000,Payroll,62000
Feb,165000,115000,Marketing,26000
Feb,165000,115000,Rent,15000
Feb,165000,115000,Technology,12000
Mar,180000,125000,Payroll,65000
Mar,180000,125000,Marketing,30000
Mar,180000,125000,Rent,15000
Mar,180000,125000,Technology,15000
Apr,175000,120000,Payroll,64000
Apr,175000,120000,Marketing,28000
Apr,175000,120000,Rent,15000
Apr,175000,120000,Technology,13000
May,195000,130000,Payroll,68000
May,195000,130000,Marketing,32000
May,195000,130000,Rent,15000
May,195000,130000,Technology,15000
Jun,210000,158000,Payroll,75000
Jun,210000,158000,Marketing,45000
Jun,210000,158000,Rent,15000
Jun,210000,158000,Technology,23000
Jul,205000,140000,Payroll,72000
Jul,205000,140000,Marketing,35000
Jul,205000,140000,Rent,15000
Jul,205000,140000,Technology,18000
Aug,225000,145000,Payroll,74000
Aug,225000,145000,Marketing,36000
Aug,225000,145000,Rent,15000
Aug,225000,145000,Technology,20000
Sep,240000,152000,Payroll,78000
Sep,240000,152000,Marketing,38000
Sep,240000,152000,Rent,15000
Sep,240000,152000,Technology,21000
Oct,235000,150000,Payroll,76000
Oct,235000,150000,Marketing,37000
Oct,235000,150000,Rent,15000
Oct,235000,150000,Technology,22000
Nov,260000,162000,Payroll,82000
Nov,260000,162000,Marketing,40000
Nov,260000,162000,Rent,15000
Nov,260000,162000,Technology,25000
Dec,285000,175000,Payroll,88000
Dec,285000,175000,Marketing,45000
Dec,285000,175000,Rent,15000
Dec,285000,175000,Technology,27000
